setting,variant,seed,n,d,d_info,k_true,status,error,ARI,NMI,runtime_sec,final_K,correct_K,over_split,under_split,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd
matched,Fixed-K,2,200,100,10,3,ok,,1.0,1.0,1.1570769129975815,3,1,0,0,0,0,0,17,0.7407407407407407,1.0
matched,Full-DIVI,2,200,100,10,3,ok,,0.8851452328494422,0.8726444798278077,0.9812735910018091,3,1,0,0,2,2,0,23,0.6060606060606061,1.0
matched,No-Gating,2,200,100,10,3,ok,,0.44776926422783625,0.5207528180763613,0.5741444439991028,2,0,0,1,1,1,0,100,,
matched,No-StepA,2,200,100,10,3,ok,,0.404557489263832,0.5001112888284424,0.849167522002972,3,1,0,0,2,2,0,100,0.18181818181818182,0.4
matched,No-StepA-FixedK,2,200,100,10,3,ok,,1.0,1.0,0.9201977619995887,3,1,0,0,0,0,0,100,0.18181818181818182,0.8
matched,Unsafe-Split,2,200,100,10,3,ok,,0.6930631414911862,0.794058878473898,1.0943076920011663,6,0,1,0,4,4,0,22,0.625,1.0
matched,Fixed-K,3,200,100,10,3,ok,,1.0,1.0,1.485864281999966,3,1,0,0,0,0,0,18,0.7142857142857143,1.0
matched,Full-DIVI,3,200,100,10,3,ok,,0.8983831889867403,0.8664203643534023,1.010722586997872,3,1,0,0,2,2,0,33,0.46511627906976744,1.0
matched,No-Gating,3,200,100,10,3,ok,,0.4587641145698368,0.5322715847425356,0.8118925570015563,2,0,0,1,1,1,0,100,,
matched,No-StepA,3,200,100,10,3,ok,,0.3870262729253566,0.4439855180100573,0.8445615860000544,3,1,0,0,2,2,0,100,0.18181818181818182,0.7
matched,No-StepA-FixedK,3,200,100,10,3,ok,,1.0,1.0,1.2676131940024788,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
matched,Unsafe-Split,3,200,100,10,3,ok,,0.5800668034431852,0.7641677485071814,1.4490617170013138,6,0,1,0,4,4,0,29,0.5128205128205128,1.0
matched,Fixed-K,4,200,100,10,3,ok,,0.9848889043575839,0.9763090425173028,1.0537116289997357,3,1,0,0,0,0,0,18,0.7142857142857143,1.0
matched,Full-DIVI,4,200,100,10,3,ok,,0.970001567757263,0.9526898520691804,0.985118019998481,3,1,0,0,2,2,0,27,0.5405405405405406,1.0
matched,No-Gating,4,200,100,10,3,ok,,0.5514082153762969,0.6854923680813533,0.5565772679983638,2,0,0,1,1,1,0,100,,
matched,No-StepA,4,200,100,10,3,ok,,0.912731833475674,0.889963801622108,0.853141470997798,3,1,0,0,2,2,0,100,0.18181818181818182,0.7
matched,No-StepA-FixedK,4,200,100,10,3,ok,,0.970010833911623,0.9589236480097751,0.8751476830002503,3,1,0,0,0,0,0,100,0.18181818181818182,1.0
matched,Unsafe-Split,4,200,100,10,3,ok,,0.5456009485588055,0.719957183049557,1.0618150800000876,6,0,1,0,4,4,0,27,0.5405405405405406,1.0
matched,Fixed-K,5,200,100,10,3,ok,,0.9848889043575839,0.9763090425173028,1.0392292129981797,3,1,0,0,0,0,0,16,0.7692307692307693,1.0
matched,Full-DIVI,5,200,100,10,3,ok,,0.5347728322429022,0.6354888668864086,0.9753766200010432,2,0,0,1,2,1,1,15,0.8,1.0
matched,No-Gating,5,200,100,10,3,ok,,0.5447212420279234,0.6693526788583186,0.5507062760007102,2,0,0,1,1,1,0,100,,
matched,No-StepA,5,200,100,10,3,ok,,0.4363917125022189,0.5006128376451249,0.854861201998574,3,1,0,0,2,2,0,100,0.18181818181818182,0.3
matched,No-StepA-FixedK,5,200,100,10,3,ok,,0.9848889043575839,0.9763090425173028,1.220060072002525,3,1,0,0,0,0,0,100,0.18181818181818182,1.0
matched,Unsafe-Split,5,200,100,10,3,ok,,0.6835422892368986,0.7795607932867996,1.067292036001163,6,0,1,0,4,4,0,16,0.7692307692307693,1.0
matched,Fixed-K,6,200,100,10,3,ok,,1.0,1.0,1.0862953899995773,3,1,0,0,0,0,0,11,0.9523809523809523,1.0
matched,Full-DIVI,6,200,100,10,3,ok,,0.8854605314368221,0.8631525277655353,1.4355312030020286,3,1,0,0,2,2,0,21,0.6451612903225806,1.0
matched,No-Gating,6,200,100,10,3,ok,,0.4662061653095783,0.5434552223599625,0.8832383689987182,2,0,0,1,1,1,0,100,,
matched,No-StepA,6,200,100,10,3,ok,,0.5354190219410574,0.6050833081298426,1.2236145570022927,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
