design,seed,n,d,d_info,delta,status,error,method,ARI,NMI,runtime_sec,final_K,feature_f1_thresh,feature_f1_top_union,active_dims,feature_auroc,feature_auprc,S12_mean_gate,S12_top_recall,S13_mean_gate,S13_top_recall,S23_mean_gate,S23_top_recall,noise_mean_gate,gate_signal_noise_gap
cluster_specific,6,600,200,15,1.0,ok,,DIVI-Info,0.9750922534721149,0.9543543436461219,2.872528217998479,3,0.8823529411764706,1.0,19.0,1.0,1.0,0.9472836256027222,1.0,0.94683438539505,1.0,0.9444684982299805,1.0,0.21640467643737793,0.7297908067703247
cluster_specific,7,600,200,15,1.0,ok,,K-means,0.955440027133204,0.9254121334881715,0.16884895700059133,3,,,,,,,,,,,,,
cluster_specific,7,600,200,15,1.0,ok,,Diag-GMM,0.9554639855891729,0.9254212077414682,0.14693391900073038,3,,,,,,,,,,,,,
cluster_specific,7,600,200,15,1.0,ok,,DIVI-Info,0.9702134204628865,0.9498147012374203,2.8043473140005517,3,0.9375,1.0,17.0,1.0,1.0,0.9401246905326843,1.0,0.9414310455322266,1.0,0.9475002288818359,1.0,0.21146990358829498,0.7315487861633301
cluster_specific,8,600,200,15,1.0,ok,,K-means,0.9750549434190664,0.9564379976474378,0.1327793920008844,3,,,,,,,,,,,,,
cluster_specific,8,600,200,15,1.0,ok,,Diag-GMM,0.9750802361778215,0.9572315126959803,0.08433186499860312,3,,,,,,,,,,,,,
cluster_specific,8,600,200,15,1.0,ok,,DIVI-Info,0.9800710428333415,0.9639021522110472,2.2878077039986238,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9458405375480652,1.0,0.9452329874038696,1.0,0.9449952244758606,1.0,0.22237905859947205,0.7229771614074707
cluster_specific,9,600,200,15,1.0,ok,,K-means,0.940728091595778,0.9005070829018301,0.10521749899999122,3,,,,,,,,,,,,,
cluster_specific,9,600,200,15,1.0,ok,,Diag-GMM,0.9700887585727752,0.9468938214354017,0.08914085600008548,3,,,,,,,,,,,,,
cluster_specific,9,600,200,15,1.0,ok,,DIVI-Info,0.9701386728410242,0.9476956929254717,2.3165862649984774,3,0.8823529411764706,1.0,19.0,1.0,1.0,0.9440121650695801,1.0,0.9448822736740112,1.0,0.9449596405029297,1.0,0.21283899247646332,0.7317789793014526
cluster_specific,10,600,200,15,1.0,ok,,K-means,0.9701523448504807,0.9510876757009828,0.11203987100088852,3,,,,,,,,,,,,,
cluster_specific,10,600,200,15,1.0,ok,,Diag-GMM,0.9651739949856187,0.9402449252706307,0.08497664499918756,3,,,,,,,,,,,,,
cluster_specific,10,600,200,15,1.0,ok,,DIVI-Info,0.9850001687576281,0.9713385371065006,2.270566423998389,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9433010220527649,1.0,0.9457715749740601,1.0,0.9438708424568176,1.0,0.20817039906978607,0.7361441254615784
cluster_specific,11,600,200,15,1.0,ok,,K-means,0.9651604278276399,0.9402427222936499,0.1312372400007007,3,,,,,,,,,,,,,
cluster_specific,11,600,200,15,1.0,ok,,Diag-GMM,0.9750060396133735,0.9593031274262056,0.08191490100034571,3,,,,,,,,,,,,,
cluster_specific,11,600,200,15,1.0,ok,,DIVI-Info,0.9800710428333415,0.9639021522110472,2.5953200200001447,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9431314468383789,1.0,0.9482713937759399,1.0,0.9434450268745422,1.0,0.21937181055545807,0.7255774736404419
cluster_specific,12,600,200,15,1.0,ok,,K-means,0.9554901931595106,0.9267214658603936,0.14687415799926384,3,,,,,,,,,,,,,
cluster_specific,12,600,200,15,1.0,ok,,Diag-GMM,0.9604054639552292,0.9357432224189723,0.10993706400040537,3,,,,,,,,,,,,,
cluster_specific,12,600,200,15,1.0,ok,,DIVI-Info,0.9360044624196844,0.900362717999118,3.2023299299999053,3,0.5416666666666666,0.8,33.0,0.9621621621621622,0.8758827927306188,0.9046715497970581,1.0,0.5524948835372925,0.4,0.9502681493759155,1.0,0.2863682210445404,0.5161099433898926
cluster_specific,13,600,200,15,1.0,ok,,K-means,0.960232890925242,0.9328039493503926,0.1680375140003889,3,,,,,,,,,,,,,
cluster_specific,13,600,200,15,1.0,ok,,Diag-GMM,0.9750802361778215,0.9564453076920119,0.12871445100063283,3,,,,,,,,,,,,,
cluster_specific,13,600,200,15,1.0,ok,,DIVI-Info,0.9800218844810689,0.9667674397511058,2.2058675610005594,3,0.8333333333333334,1.0,21.0,1.0,1.0,0.9438392519950867,1.0,0.9436626434326172,1.0,0.9371069073677063,1.0,0.21489043533802032,0.726645827293396
cluster_specific,14,600,200,15,1.0,ok,,K-means,0.9651722362366754,0.9394611148898279,0.11060034299953259,3,,,,,,,,,,,,,
cluster_specific,14,600,200,15,1.0,ok,,Diag-GMM,0.9701640069788814,0.9469168085477441,0.07471708800039778,3,,,,,,,,,,,,,
cluster_specific,14,600,200,15,1.0,ok,,DIVI-Info,0.9651497931802611,0.9423320271681258,2.491283896000823,3,0.9375,1.0,17.0,1.0,1.0,0.9446096420288086,1.0,0.9393793344497681,1.0,0.9435763359069824,1.0,0.21148629486560822,0.7310355305671692
cluster_specific,15,600,200,15,1.0,ok,,K-means,0.9801340027693001,0.9668025935330152,0.09943240800021158,3,,,,,,,,,,,,,
cluster_specific,15,600,200,15,1.0,ok,,Diag-GMM,0.9900168347249766,0.9829929733076637,0.08569348600030935,3,,,,,,,,,,,,,
cluster_specific,15,600,200,15,1.0,ok,,DIVI-Info,0.9900168347249766,0.9829929733076634,2.339297403001183,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9455848932266235,1.0,0.9453917741775513,1.0,0.9474655389785767,1.0,0.20976296067237854,0.7363842725753784
cluster_specific,16,600,200,15,1.0,ok,,K-means,0.9602552966092157,0.9278381791153183,0.09478317100001732,3,,,,,,,,,,,,,
cluster_specific,16,600,200,15,1.0,ok,,Diag-GMM,0.9602559656586331,0.9307189308496303,0.08862594700076443,3,,,,,,,,,,,,,
cluster_specific,16,600,200,15,1.0,ok,,DIVI-Info,0.9751803584848328,0.9572623507831152,2.377505596999981,3,0.8108108108108109,1.0,22.0,1.0,1.0,0.9460769891738892,1.0,0.9402674436569214,1.0,0.9411709904670715,1.0,0.2190542221069336,0.7234508991241455
cluster_specific,17,600,200,15,1.0,ok,,K-means,0.955451256281407,0.9233221840955824,0.18384513599994534,3,,,,,,,,,,,,,
cluster_specific,17,600,200,15,1.0,ok,,Diag-GMM,0.9800584170854272,0.961802982619282,0.11983088300075906,3,,,,,,,,,,,,,
cluster_specific,17,600,200,15,1.0,ok,,DIVI-Info,0.9900041668585104,0.9808938144286627,2.7418527619993256,3,0.8823529411764706,1.0,19.0,1.0,1.0,0.9476665258407593,1.0,0.9452540278434753,1.0,0.9409270286560059,1.0,0.22826434671878815,0.7163515686988831
cluster_specific,18,600,200,15,1.0,ok,,K-means,0.9554684834771886,0.9308854881590554,0.16114721300073143,3,,,,,,,,,,,,,
cluster_specific,18,600,200,15,1.0,ok,,Diag-GMM,0.9751552754716795,0.9593502610771927,0.13179036300061853,3,,,,,,,,,,,,,
cluster_specific,18,600,200,15,1.0,ok,,DIVI-Info,0.965322734315595,0.9436829086229901,2.8602218670002912,3,0.8571428571428571,1.0,20.0,1.0,1.0,0.9375768899917603,1.0,0.9401521682739258,1.0,0.942727267742157,1.0,0.21785780787467957,0.7222943305969238
cluster_specific,19,600,200,15,1.0,ok,,K-means,0.9750549434190664,0.9543423859445153,0.10624680100045225,3,,,,,,,,,,,,,
cluster_specific,19,600,200,15,1.0,ok,,Diag-GMM,0.9750922534721149,0.9543543436461219,0.0902764920010668,3,,,,,,,,,,,,,
cluster_specific,19,600,200,15,1.0,ok,,DIVI-Info,0.9850001687576281,0.9713385371065006,2.3993266100005712,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.947881817817688,1.0,0.9454264640808105,1.0,0.9458566904067993,1.0,0.21945631504058838,0.7269319891929626
cluster_specific,20,600,200,15,1.0,ok,,K-means,0.9750793971742288,0.9522554721223194,0.14036854700134427,3,,,,,,,,,,,,,
cluster_specific,20,600,200,15,1.0,ok,,Diag-GMM,0.9750793971742288,0.9522554721223196,0.10839217099965026,3,,,,,,,,,,,,,
cluster_specific,20,600,200,15,1.0,ok,,DIVI-Info,0.9651722362366754,0.9373657428570601,2.369130416000189,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9400264024734497,1.0,0.9362512826919556,1.0,0.9447185397148132,1.0,0.20508044958114624,0.7352516055107117
