scenario,n,d,k,d_info,delta,noise_sd,seed,method,status,error,ARI,NMI,runtime_sec,final_K,active_dims,feature_f1_thresh,feature_f1_topd
high_dim_scaling,600,1000,3,10,2.0,3.0,7,PCA(50)+K-means,ok,,0.43333722374799966,0.4751766738084223,0.12448388100006014,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,7,PCA(50)+diag-GMM,ok,,0.4301025462034201,0.4902828920967191,0.19387950600003023,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,8,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,13.668556535999869,3,98.0,0.18518518518518517,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,8,K-means,ok,,0.3443840212730431,0.3900037223505726,0.3824037510000835,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,8,diag-GMM,ok,,0.729780898050959,0.6952701714424087,0.649928060000093,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,8,PCA(50)+K-means,ok,,0.3845999285868722,0.43268558570406873,0.12504238600013196,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,8,PCA(50)+diag-GMM,ok,,0.4472502842158348,0.5030772196731382,0.2388189959999636,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,9,DIVI-Info,ok,,0.9850377307840942,0.9734455812074277,12.929463326000132,3,69.0,0.25316455696202533,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,9,K-means,ok,,0.4169178549147067,0.4507387099970205,0.31771718599998167,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,9,diag-GMM,ok,,0.5548254587322621,0.5955626725818519,0.5797925140000189,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,9,PCA(50)+K-means,ok,,0.5273214733246702,0.5254904010723168,0.1234352740000304,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,9,PCA(50)+diag-GMM,ok,,0.9312115733701588,0.8948564466165667,0.17452447999994547,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,10,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,14.965241694000042,3,81.0,0.21978021978021978,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,10,K-means,ok,,0.35513262467276996,0.3916059710521041,0.38510055400001875,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,10,diag-GMM,ok,,0.4842226241869617,0.5489520604881961,0.625919131000046,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,10,PCA(50)+K-means,ok,,0.45813746325190113,0.4838910799349466,0.12259027300001435,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,10,PCA(50)+diag-GMM,ok,,0.3071728818011341,0.38227409776034244,0.17419300100004875,3,50.0,,
